payment_installments,count,mean
0,2,94.315
1,25455,95.87292987625221
2,12413,127.22815032627085
3,10461,142.53931746486953
4,7098,163.9768399549169
5,5239,183.46522237068143
6,3920,209.84995153061226
7,1626,187.67367158671587
8,4268,307.737427366448
9,644,203.44086956521738
10,5328,415.08583708708704
11,23,124.93217391304348
12,133,321.6784962406015
13,16,150.4625
14,15,167.96266666666668
15,74,445.5531081081081
16,5,292.694
17,8,174.6025
18,27,486.4833333333333
20,17,615.8017647058823
21,3,243.69999999999996
22,1,228.71
23,1,236.48
24,18,610.0488888888889
