customer_state,order_count,total_sales,avg_freight
SP,40494,5066562.98,15.114989987295708
RJ,12350,1759651.1300000001,20.911436046100544
MG,11354,1552481.83,20.626342520904306
RS,5344,728718.47,21.61427034077939
PR,4923,666063.51,20.47181625066383
SC,3546,507012.13,21.507359043202342
BA,3256,493584.14,26.487556339940266
DF,2080,296498.41,21.07216135881104
GO,1957,282836.7,22.562867808519982
ES,1995,268643.45,22.0289797752809
PE,1593,251889.49,32.693333333333335
CE,1279,219757.38,32.73449509116409
PA,946,174470.59,35.62901328273245
MT,886,152191.62,27.996914175506266
MA,717,117009.38,38.492712499999996
MS,701,115429.97,23.350900123304566
PB,517,112586.82,43.09168941979522
PI,476,84721.0,39.11508604206501
RN,474,82105.66,35.71808061420345
AL,397,78855.72,35.87065573770492
SE,335,56574.19,36.57317333333334
TO,274,48402.51,37.43503225806452
RO,243,45682.76,41.33054945054945
AM,145,22155.84,33.31061349693252
AC,80,15930.97,40.04791208791209
AP,67,13374.81,34.160493827160494
RR,41,7057.47,43.08804347826087
